iter	Passed	Remaining
839	1287	245
840	1289	243
841	1290	242
842	1291	240
843	1292	238
844	1293	237
845	1295	235
846	1296	234
847	1298	232
848	1299	231
849	1300	229
850	1302	228
851	1304	226
852	1305	224
853	1306	223
854	1307	221
855	1308	220
856	1309	218
857	1311	217
858	1313	215
859	1314	213
860	1315	212
861	1316	210
862	1318	209
863	1319	207
864	1320	206
865	1322	204
866	1323	202
867	1324	201
868	1325	199
869	1327	198
870	1328	196
871	1329	195
872	1331	193
873	1332	192
874	1334	190
875	1335	189
876	1336	187
877	1337	185
878	1338	184
879	1339	182
880	1341	181
881	1342	179
882	1344	178
883	1345	176
884	1346	175
885	1348	173
886	1349	171
887	1350	170
888	1351	168
889	1353	167
890	1354	165
891	1355	164
892	1357	162
893	1358	161
894	1359	159
895	1361	158
896	1362	156
897	1364	154
898	1365	153
899	1366	151
900	1368	150
901	1369	148
902	1370	147
903	1371	145
904	1373	144
905	1374	142
906	1376	141
907	1377	139
908	1379	138
909	1380	136
910	1381	134
911	1382	133
912	1384	131
913	1385	130
914	1386	128
915	1388	127
916	1389	125
917	1391	124
918	1392	122
919	1394	121
920	1395	119
921	1396	118
922	1398	116
923	1399	115
924	1400	113
925	1401	111
926	1403	110
927	1404	108
928	1405	107
929	1407	105
930	1408	104
931	1409	102
932	1411	101
933	1412	99
934	1413	98
935	1414	96
936	1415	95
937	1417	93
938	1418	92
939	1420	90
940	1421	89
941	1422	87
942	1424	86
943	1425	84
944	1426	83
945	1427	81
946	1429	79
947	1430	78
948	1431	76
949	1433	75
950	1434	73
951	1435	72
952	1437	70
953	1438	69
954	1439	67
955	1441	66
956	1442	64
957	1443	63
958	1444	61
959	1445	60
960	1446	58
961	1448	57
962	1450	55
963	1451	54
964	1452	52
965	1454	51
966	1455	49
967	1456	48
968	1458	46
969	1459	45
970	1460	43
971	1461	42
972	1463	40
973	1464	39
974	1466	37
975	1468	36
976	1469	34
977	1471	33
978	1472	31
979	1474	30
980	1475	28
981	1477	27
982	1478	25
983	1480	24
984	1481	22
985	1483	21
986	1484	19
987	1486	18
988	1488	16
989	1489	15
990	1490	13
991	1492	12
992	1493	10
993	1495	9
994	1496	7
995	1497	6
996	1499	4
997	1500	3
998	1501	1
999	1503	0
